Event	ID	Name			Wwise Object Path	Notes
	14541412	StopAllAudio			\Default Work Unit\Sound Effect\StopAllAudio	
	87504952	WoodPlatformBreaking			\Default Work Unit\Sound Effect\TowerSFX\WoodPlatformBreaking	
	192683013	ScrewOut			\Default Work Unit\Sound Effect\MinigameSFX\ScrewOut	
	221232726	Lose			\Default Work Unit\Sound Effect\Lose	
	309297417	WoodPlatformCreak			\Default Work Unit\Sound Effect\TowerSFX\WoodPlatformCreak	
	394147468	RightIngredient			\Default Work Unit\Sound Effect\MinigameSFX\RightIngredient	
	417816648	RailgunnerAttack			\Default Work Unit\Sound Effect\TowerSFX\RailgunnerAttack	
	681960105	RewindSFX			\Default Work Unit\Sound Effect\TowerSFX\RewindSFX	
	753485648	TsukiSoundVFX			\Default Work Unit\Sound Effect\TowerSFX\TsukiSoundVFX	
	857058117	WrongIngredient			\Default Work Unit\Sound Effect\MinigameSFX\WrongIngredient	
	967088778	SteampunkBattleMusic			\Default Work Unit\OST\SteampunkBattleMusic	
	967495643	ScifiSliderWrong			\Default Work Unit\Sound Effect\MinigameSFX\ScifiSliderWrong	
	973282680	RiftOpen			\Default Work Unit\Sound Effect\TowerSFX\RiftOpen	
	980765601	IceLevelMusic			\Default Work Unit\OST\IceLevelMusic	
	997748464	DiverSlow			\Default Work Unit\Sound Effect\TowerSFX\DiverSlow	
	1007541237	PotionThrowerAttack			\Default Work Unit\Sound Effect\TowerSFX\PotionThrowerAttack	
	1339457245	MedievilLobbyMusic			\Default Work Unit\OST\MedievilLobbyMusic	
	1479422892	AxeSharpen			\Default Work Unit\Sound Effect\MinigameSFX\AxeSharpen	
	1480220082	RailgunChargeUp			\Default Work Unit\Sound Effect\TowerSFX\RailgunChargeUp	
	1843285636	TowerBuild			\Default Work Unit\Sound Effect\TowerBuild	
	1991862712	MainMenuMusic			\Default Work Unit\OST\MainMenuMusic	
	2135196617	ScifiLobby			\Default Work Unit\OST\ScifiLobby	
	2157426783	AxeSwing			\Default Work Unit\Sound Effect\TowerSFX\AxeSwing	
	2255367838	FreezeAudio			\Default Work Unit\Sound Effect\TowerSFX\FreezeAudio	
	2262216515	NetTrap			\Default Work Unit\Sound Effect\TowerSFX\NetTrap	
	2412449086	PotionThrowerBreak			\Default Work Unit\Sound Effect\TowerSFX\PotionThrowerBreak	
	2449534095	ScifiGameplay			\Default Work Unit\OST\ScifiGameplay	
	2597606623	PortalOverdriveAttack			\Default Work Unit\Sound Effect\TowerSFX\PortalOverdriveAttack	
	2642738694	TowerDegrade			\Default Work Unit\Sound Effect\TowerDegrade	
	2716678721	Victory			\Default Work Unit\Sound Effect\Victory	
	2811182890	ScrewIn			\Default Work Unit\Sound Effect\MinigameSFX\ScrewIn	
	2913537494	NetThrow			\Default Work Unit\Sound Effect\TowerSFX\NetThrow	
	3027104813	TsukiFireworkLaunch			\Default Work Unit\Sound Effect\TowerSFX\TsukiFireworkLaunch	
	3145432090	ScifiSliderRight			\Default Work Unit\Sound Effect\MinigameSFX\ScifiSliderRight	
	3360822273	TsukiFireworkExplosion			\Default Work Unit\Sound Effect\TowerSFX\TsukiFireworkExplosion	
	3473566750	SteampunkLobbyMusic			\Default Work Unit\OST\SteampunkLobbyMusic	
	3474785039	DiverOverdrive			\Default Work Unit\Sound Effect\TowerSFX\DiverOverdrive	
	3584172652	RiftClose			\Default Work Unit\Sound Effect\TowerSFX\RiftClose	
	3692382261	RopeTie			\Default Work Unit\Sound Effect\MinigameSFX\RopeTie	
	4108069375	MedievilBattleMusic			\Default Work Unit\OST\MedievilBattleMusic	
	4226718115	MinigameComplete			\Default Work Unit\Sound Effect\MinigameSFX\MinigameComplete	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	56694352	WaterRipple	.cache\06\{069B4B52-B324-630C-B509-FCE35053EEB2}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\WaterRipple		384096
	91615308	ScifiGameplay	.cache\6E\{6E698CBF-A8FF-2A82-AA9B-C93E33308303}.wem		\Containers\Default Work Unit\OST\ScifiGameplay		30027872
	123721421	pocketwatchbreak	.cache\88\{88380D40-3244-1289-8DEC-EABAD62F7AC5}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\pocketwatchbreak		967800
	179541847	spacey_novanox-charge-up-sound-effect-447383	.cache\58\{58104758-B62E-F1CE-C19A-BF28608F4BD1}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\spacey_novanox-charge-up-sound-effect-447383		96864
	189914420	shadowman_sax_long_4	.cache\D8\{D8E3667A-3B59-E183-EDD2-9E3E1EC544C9}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\shadowman_sax_long_4		119694
	200942632	Railgunbg	.cache\AD\{ADFB3D25-287E-89DA-4D7D-7B1BE998C2E1}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\Railgunbg		175026
	242852772	NetThrow	.cache\27\{277FD0A5-D42A-9D13-414B-46199809DDE7}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\NetThrow		36960
	294256144	ScrewOut	.cache\DA\{DA18F280-AE6D-DBB9-34D0-EB5BE27D15C3}.wem		\Containers\Default Work Unit\Sound Effects\MinigameSFX\ScrewOut		62280
	296847885	eXPLOSION	.cache\D9\{D9382077-7DE9-05B1-33BC-FB5C0F8723D2}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\eXPLOSION		207456
	303458537	Railgun	.cache\7F\{7F4B9879-14F2-F290-0E5C-E71BB113013C}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\Railgun		172896
	317442978	WoodPlatformCreak	.cache\5D\{5D1E9334-F260-5B62-F12F-33B43F77605A}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\WoodPlatformCreak		222532
	357743836	RiftClose	.cache\E1\{E1E9D9B5-4F79-4724-B2C7-8FBDDF951F76}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\RiftClose		197052
	370408392	Steampunk_Lobby_Music	.cache\94\{94632283-FC37-7317-9646-280100E02151}.wem		\Containers\Default Work Unit\OST\Steampunk_Lobby_Music		15598972
	388930378	DiverOverDrive1	.cache\48\{4899EA33-C79E-CE55-3A62-D2DB98A4A486}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\DiverOverDrive1		216096
	410739340	AxeSharpen	.cache\6B\{6B9CCD1F-4F14-9DDF-E730-2B5ECFAEA3A4}.wem		\Containers\Default Work Unit\Sound Effects\MinigameSFX\AxeSharpen		89660
	414448538	shadowman_sax_long_1	.cache\EB\{EB71E7DA-C71F-14F8-E3C4-0C796BA3C49A}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\shadowman_sax_long_1		119694
	425314208	TowerPlacement	.cache\80\{80C4EBAD-6546-4E44-F2AF-F979106B6862}.wem		\Containers\Default Work Unit\Sound Effects\TowerPlacement		82136
	439193464	Glass	.cache\5D\{5D3F9B45-DD9C-DC46-16A3-E42404749330}.wem		\Containers\Default Work Unit\Sound Effects\TowerSFX\Glass		50784
	439503373	WrongIngredient	.cache\EB\{EB5530E3-2F2E-3024-7199-0748F57F10D1}.wem		\Containers\Default Work Unit\Sound Effects\MinigameSFX\WrongIngredient		80664
	440627326	MedievilLobbyMusic2	.cache\90\{90EBC9A0-8064-706D-37D9-C83910243B49}.wem		\Containers\Default Work Unit\OST\MedievilLobbyMusic2		10290020
